Indicator,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with fatalities,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Traffic accidents with fatalities with the participation of drunk drivers,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons killed,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured,Persons injured
1999,1472,85,73,68,105,138,154,150,161,137,134,123,144,199,15,7,12,15,17,19,23,17,10,14,22,28,325,15,14,10,29,36,46,39,34,32,29,22,19,46,2,2,1,6,5,8,9,3,1,2,2,5,232,19,9,12,20,19,23,28,18,11,17,27,29,1690,92,84,78,111,157,186,176,201,165,151,134,155
2000,1504,88,83,98,105,130,135,136,143,164,157,129,136,190,9,6,14,16,14,16,7,17,16,23,26,26,326,14,20,22,26,34,30,29,35,45,35,13,23,39,0,1,1,5,5,4,3,4,3,6,4,3,204,10,6,19,17,15,17,7,18,17,25,26,27,1843,112,98,134,136,167,166,193,185,205,166,130,151
2001,1888,85,99,95,123,153,199,210,226,163,161,188,186,168,9,7,7,12,18,11,16,17,21,14,18,18,400,22,16,18,30,39,47,52,52,37,26,31,30,47,3,0,2,1,6,4,11,6,6,2,5,1,199,9,10,10,14,20,15,21,19,23,15,22,21,2443,102,131,112,159,192,268,273,304,206,195,244,257
2002,2164,147,134,143,161,216,239,211,226,206,171,163,147,191,11,13,10,10,15,24,19,19,20,19,16,15,503,26,23,36,42,64,70,51,56,50,28,23,34,55,1,2,1,6,8,8,5,5,9,2,3,5,223,14,14,12,10,16,32,25,23,21,20,17,19,2868,198,167,197,216,274,318,300,323,274,207,202,192
2003,1931,122,99,103,122,155,174,179,213,195,190,192,187,145,10,5,4,6,9,19,9,10,16,15,23,19,400,16,21,28,26,44,44,45,48,36,30,37,25,39,3,2,2,3,3,4,4,4,4,4,4,2,164,16,5,4,8,10,21,9,11,17,16,23,24,2540,180,129,129,160,193,239,251,293,248,251,238,229
2004,2244,189,134,131,162,187,196,187,259,203,191,192,213,154,16,8,8,8,12,13,10,15,17,11,14,22,409,19,12,11,31,50,53,41,49,42,43,25,33,37,2,0,1,2,7,5,4,4,5,2,3,2,170,19,9,8,8,12,14,12,16,21,13,14,24,2875,250,182,170,204,224,251,255,336,251,245,243,264
2005,2341,176,119,136,143,210,231,234,236,246,223,195,192,151,16,7,7,5,13,14,10,13,18,16,16,16,442,21,15,16,42,41,55,56,43,57,46,31,19,45,6,1,1,4,2,6,4,6,5,4,5,1,170,19,7,10,5,14,16,15,13,19,17,19,16,3027,205,168,178,179,287,301,307,306,313,288,257,238
2006,2585,158,144,132,151,202,263,263,247,258,256,212,299,183,11,6,11,9,13,16,22,16,19,19,17,24,540,28,13,17,38,45,82,69,56,46,58,29,59,57,2,0,2,4,7,9,5,7,5,6,2,8,204,11,7,12,10,13,19,25,19,22,21,21,24,3508,207,198,170,200,286,367,373,342,329,353,286,397
2007,2450,183,153,178,200,271,285,237,262,189,173,164,155,174,10,12,11,13,20,18,12,26,13,10,13,16,552,24,21,35,65,82,72,51,61,51,28,27,35,66,1,4,1,6,14,9,6,10,6,1,4,4,196,10,17,11,14,21,22,16,31,13,10,13,18,3271,249,221,236,263,373,383,314,358,252,211,228,183
2008,1869,157,153,127,142,183,162,188,156,151,168,144,138,114,13,8,8,5,6,15,10,8,12,11,13,5,391,19,32,27,44,41,30,44,29,37,34,35,19,32,1,4,2,1,3,5,4,2,5,3,2,0,132,16,8,8,5,7,20,12,10,14,13,14,5,2398,191,209,182,180,231,192,250,193,174,212,189,195
2009,1505,115,95,87,90,158,153,153,165,151,113,100,125,85,7,7,6,2,6,2,7,11,14,6,8,9,280,18,21,13,12,43,38,30,40,30,14,11,10,28,2,4,2,0,5,1,2,8,2,0,1,1,100,10,10,6,5,6,2,8,13,16,6,8,10,1931,139,116,109,112,197,208,213,224,182,144,121,166
2010,1347,91,88,74,72,133,141,153,145,100,125,122,103,70,3,4,3,4,7,7,11,7,4,8,6,6,203,6,4,5,15,20,38,28,26,16,22,16,7,13,0,1,0,0,0,5,2,2,1,1,1,0,79,5,4,4,4,7,10,12,7,4,9,7,6,1720,116,115,92,100,164,195,183,184,118,151,142,160
2011,1492,96,73,70,84,125,157,154,165,139,152,119,158,93,7,4,5,6,6,6,9,7,8,9,13,13,216,8,8,7,13,22,30,28,20,17,28,20,15,21,1,0,1,3,3,2,4,2,0,0,4,1,101,7,6,5,7,7,6,10,7,8,9,13,16,1879,139,94,89,110,148,214,196,222,147,190,140,190
2012,1383,105,81,83,89,131,141,151,134,125,121,108,114,82,6,8,11,6,6,5,9,8,7,6,5,5,203,6,6,15,16,24,21,28,21,26,19,11,10,15,1,0,4,2,3,0,3,0,1,0,0,1,87,8,9,12,7,6,5,9,8,7,6,5,5,1707,136,100,96,113,172,176,182,164,159,138,131,140
2013,1364,86,58,86,95,126,148,129,148,121,120,121,126,74,2,2,0,3,8,12,5,8,7,8,9,10,207,6,3,8,14,18,32,28,26,20,15,20,17,28,0,0,0,2,5,4,3,2,4,1,6,1,81,2,2,0,3,8,13,5,8,7,8,12,13,1680,115,74,102,123,152,185,158,179,148,142,141,161
2014,1413,92,72,83,108,126,138,170,157,143,105,101,118,72,10,4,3,7,4,1,9,7,6,7,7,7,178,7,8,15,11,15,24,15,19,18,22,13,11,18,2,2,0,1,2,0,2,2,1,3,1,2,78,10,4,5,8,5,1,9,8,6,7,7,8,1712,104,94,95,140,151,185,196,192,164,117,122,152
2015,1376,95,86,84,108,123,113,171,160,133,97,94,112,61,3,10,3,5,6,2,3,6,6,1,10,6,170,6,4,16,6,29,16,25,20,18,14,7,9,16,0,1,2,0,2,0,1,6,4,0,0,0,67,3,11,3,6,7,2,3,9,6,1,10,6,1725,120,113,97,131,172,140,202,212,168,120,113,137
2016,1468,107,87,65,120,157,145,136,165,137,116,116,117,63,6,4,5,6,4,5,6,2,4,10,8,3,190,11,10,10,19,19,19,19,26,17,14,10,16,7,0,0,0,1,0,1,3,1,1,0,0,0,71,7,4,5,6,4,5,8,2,5,12,10,3,1846,154,132,78,143,204,176,177,197,159,136,150,140
2017,1406,87,110,73,86,126,133,160,145,162,98,114,112,44,4,3,5,3,3,3,4,5,3,4,1,6,182,6,14,11,17,13,21,25,17,20,13,11,14,13,1,0,5,1,1,0,1,1,0,1,0,2,48,4,3,7,3,3,3,5,6,3,4,1,6,1725,107,137,86,114,146,162,201,171,191,122,145,143
2018,1469,110,66,73,97,185,162,184,151,121,110,102,108,64,9,2,3,4,8,9,10,8,2,3,2,4,148,11,10,6,11,14,21,19,17,15,10,6,8,12,1,2,0,1,0,1,2,2,1,1,0,1,67,11,2,3,4,8,10,10,8,2,3,2,4,1832,142,98,86,122,216,189,227,202,138,131,134,147
2019,1406,90,55,94,111,130,174,154,149,146,96,110,97,51,7,1,5,4,5,7,4,7,3,1,6,1,139,3,5,8,11,14,20,14,18,16,7,10,13,13,1,0,0,1,2,3,0,2,1,0,2,1,52,8,1,5,4,5,7,4,7,3,1,6,1,1733,120,68,123,129,164,213,210,162,163,116,127,138
2020,1368,94,81,75,72,159,160,137,151,139,107,103,90,56,7,4,2,3,3,7,3,7,4,4,7,5,132,6,6,14,9,18,13,13,14,14,9,9,7,12,4,0,0,2,3,0,0,1,1,0,0,1,60,9,4,2,3,4,8,3,7,4,4,7,5,1577,111,89,88,78,173,204,188,164,154,116,114,98
2021,1568,77,65,65,83,170,221,218,173,139,135,113,109,40,3,1,4,1,2,7,3,7,2,3,2,5,133,8,9,11,3,14,15,7,14,14,12,12,14,16,2,0,2,1,2,1,1,2,2,1,0,2,55,4,2,4,2,3,8,7,9,3,5,3,5,1768,105,72,79,91,189,244,233,199,152,140,129,135
2022,1700,83,71,73,98,175,261,228,243,167,124,96,81,47,4,6,2,5,2,6,3,4,4,3,3,5,134,4,9,7,10,13,22,16,15,12,11,9,6,13,1,2,0,2,1,5,1,1,0,0,0,0,50,5,6,2,5,2,6,3,4,4,3,3,7,1920,100,85,90,107,196,286,249,261,181,145,114,106
2023,1725,80,69,81,113,191,197,262,238,189,125,111,69,52,2,0,5,3,8,5,3,5,3,6,6,6,119,7,6,8,8,10,17,14,11,10,9,11,8,14,1,0,0,1,1,4,0,3,0,3,0,1,59,3,0,5,5,9,6,3,5,3,7,7,6,1943,106,83,84,129,211,220,290,258,209,137,135,81
